product_id;article;name;artist;genre;label;manufacturer;supplier;format;unit;price;stock_quantity;discount;description;image_path;is_new;is_bestseller;is_staff_pick;is_preorder;is_color_vinyl
15;VNL015;Flood;Boris;Рок;MIDI Creative;Heavy Press;Токио Винил;2LP;шт.;4590;5;16;Экспериментальный альбом Boris 2000 года.;https://thirdmanrecords.com/cdn/shop/products/TMR_733_Boris_Flood_Front-01.png?v=1624649320;0;0;1;0;0
16;VNL016;Noise;Boris;Рок;Sargent House;Heavy Press;Норд Дистрибуция;1LP;шт.;4190;7;3;Студийный альбом Boris 2014 года.;https://www.progarchives.com/progressive_rock_discography_covers/12562/cover_2021917122023_r.jpeg;0;0;0;0;1
17;VNL017;Akuma no Uta;Boris;Рок;Diwphalanx;Heavy Press;Токио Винил;1LP;шт.;3490;10;0;Альбом CAPSULE 2006 года.;https://f4.bcbits.com/img/a3007100955_10.jpg;0;1;1;0;1
18;VNL018;L.D.K. Lounge Designers Killer;CAPSULE;Электроника;Yamaha Music;Токио Пресс;Аналог Дистрибуция;1LP;шт.;3390;6;6;Альбом CAPSULE 2005 года.;https://inoxia-rec.com/cdn/shop/products/Christmas_1000x1000.progressive.jpg?v=1668595336;0;0;0;0;0
19;VNL019;Smile;Boris;Рок;Inoxia Records;Heavy Press;Винил Маркет;1LP;шт.;3890;5;0;Студийный альбом Jockstrap 2022 года.;https://inoxia-rec.com/cdn/shop/products/03_Smile_JK_1000x1000%402x.progressive.jpg?v=1656858026;0;1;1;0;0
20;VNL020;Wicked City;Jockstrap;Инди;Warp;Лондон Пресс;Точка Винил;1LP;шт.;3190;8;4;Мини-альбом Jockstrap 2020 года.;https://i.scdn.co/image/ab67616d0000b27394e482eb4550bebed9f9b524;0;0;0;0;1
21;VNL021;I<3UQTINVU;Jockstrap;Инди;Rough Trade;Лондон Пресс;Винил Маркет;1LP;шт.;3690;0;20;Альбом Jockstrap 2021 года.;https://f4.bcbits.com/img/0028963529_71.jpg;1;0;1;1;0
22;VNL022;Life;KNOWER;Фанк / электроника;KNOWER;West Coast Press;Аналог Дистрибуция;1LP;шт.;3790;6;0;Альбом KNOWER, доступный на Spotify как Life.;https://miro.medium.com/v2/resize%3Afit%3A700/1%2AlJ_5oj3Vs7NkMgrB5PeTLg.jpeg;0;1;0;0;0
23;VNL023;KNOWER FOREVER;KNOWER;Фанк / электроника;KNOWER;West Coast Press;Норд Дистрибуция;1LP;шт.;3990;4;11;Альбом KNOWER 2023 года.;https://ondarock.it/images/cover/a4133899070_10_1696841571.jpg;1;1;1;0;1
24;VNL024;Hold Your Horse Is;Hella;Мат-рок;Kill Rock Stars;Инди Пресс;Точка Винил;1LP;шт.;3290;5;0;Дебютный полноформатный альбом Hella 2002 года.;https://http2.mlstatic.com/D_NQ_NP_794513-MLC88967106283_072025-O.webp;0;1;1;0;0
25;VNL025;There's No 666 in Outer Space;Hella;Мат-рок;Ipecac;Инди Пресс;Аналог Дистрибуция;1LP;шт.;3490;3;8;Альбом Hella 2007 года.;https://f4.bcbits.com/img/a0740065418_10.jpg;0;0;0;0;0
26;VNL026;Tripper;Hella;Мат-рок;Sargent House;Инди Пресс;Винил Маркет;1LP;шт.;3590;9;0;Альбом Hella 2011 года.;https://f4.bcbits.com/img/a3109220247_10.jpg;1;0;1;0;0
27;VNL027;Drop You Vivid Colours;Luminous Orange;Шугейз;ToneVendor;Токио Пресс;Токио Винил;1LP;шт.;3390;5;14;Альбом Luminous Orange 2002 года.;https://cdn.albumoftheyear.org/artists/luminous-orange_1751348753.jpg;0;0;1;0;1
28;VNL028;PLAYER;CAPSULE;Электроника;Yamaha Music;Токио Пресс;Точка Винил;1LP;шт.;3290;4;0;Альбом CAPSULE 2008 года.;https://ogre.natalie.mu/media/news/music/2010/0303/capsule_player.jpg?imdensity=1&impolicy=m&imwidth=750;0;1;0;0;0
29;VNL029;Only You;The Platters;Соул;Mercury;Classic Press;Классик Винил;1LP;шт.;2890;12;5;Альбом The Platters, выпущенный в 1956 году.;https://1265745076.rsc.cdn77.org/1024/jpg/42667-6245f13650e9a.jpg;0;1;1;0;0
30;VNL030;CODE: The Price of Wishes;Yugo Kanno;Саундтрек;VAP;Soundtrack Press;Классик Винил;2LP;шт.;4190;3;0;Саундтрек Yugo Kanno из серии CODE Geass: Lelouch of the Resurrection.;https://akibashipping.com/cdn/shop/products/B0CG1J95HR_1_df359d1b-21df-4743-84cd-41bca0188638_1200x1200.jpg?v=1700542706;0;1;1;0;0
